Galactic Center Survey Progress
19 grid points from galcenter
targetId	TotalMHz	MinFreqMHz	MaxFreqMHz
150018	2,084.9	1,419.6	8,919.5
150020	2,014.4	1,419.6	8,919.5
150021	2,049.6	6,745.0	8,919.5
150022	1,971.8	6,745.0	8,919.5
150026	1,885.8	6,895.0	8,919.5
150028	1,876.8	6,895.0	8,919.5
150032	1,880.9	6,895.0	8,919.5
150035	1,909.6	6,895.0	8,919.5
150040	1,885.8	6,895.0	8,919.5
150041	1,833.4	1,419.6	8,919.5
150042	2,017.7	6,745.0	8,919.5
150047	1,866.1	6,745.0	8,919.5
150048	1,933.3	6,745.0	8,919.5
150050	1,848.9	6,895.0	8,919.5
150053	2,153.7	6,745.0	8,919.5
150056	1,866.1	6,895.0	8,919.5
150058	1,839.1	6,895.0	8,919.5
150060	1,771.9	6,895.0	8,919.5
150062	1,727.7	6,895.0	8,919.5
150064	1,534.4	6,895.0	8,919.5
150066	1,527.0	6,895.0	8,919.5
150067	1,529.4	6,895.0	8,919.5
150068	1,450.0	6,895.0	8,919.5
150072	1,454.1	6,895.0	8,919.5
150075	1,454.9	6,895.0	8,919.5
150076	1,906.3	6,745.0	8,919.5
150080	1,536.8	6,895.0	8,918.6
150081	1,452.4	6,895.0	8,919.5
150082	1,531.1	6,895.0	8,858.8
150083	1,368.9	6,895.0	8,519.5
150084	1,616.3	6,895.0	8,919.5
150085	1,447.5	6,895.0	8,839.5
150086	2,268.4	6,895.0	8,919.5
150087	1,366.4	6,895.0	8,519.5
150088	1,607.3	6,895.0	8,919.5
150089	1,729.3	6,745.0	8,919.5
150090	1,441.8	6,745.0	8,919.5
150091	1,397.6	6,895.0	8,919.5
150092	1,427.0	6,895.0	8,919.5
150093	895.4	6,895.0	8,839.5
150094	957.6	6,745.0	8,839.5
150095	1,736.7	6,745.0	8,919.5
150096	2,016.9	6,745.0	8,919.5
150097	2,027.5	6,895.0	8,919.5
150098	769.2	6,895.0	8,359.5
150099	1,028.9	6,895.0	8,919.5
150100	628.3	6,895.0	8,359.5
150101	1,314.0	6,895.0	8,677.8
150102	623.4	6,895.0	8,359.5
